file_path,machine_id,held_out_eval_machine,true_label,reconstruction_mse,val_threshold_95,predicted_label
D:\pump\id_00\normal\00000000.wav,id_00,id_00,0,0.171213,0.175691,0
D:\pump\id_00\normal\00000001.wav,id_00,id_00,0,0.170592,0.175691,0
D:\pump\id_00\normal\00000002.wav,id_00,id_00,0,0.173604,0.175691,0
D:\pump\id_00\normal\00000003.wav,id_00,id_00,0,0.170059,0.175691,0
D:\pump\id_00\normal\00000004.wav,id_00,id_00,0,0.170961,0.175691,0
D:\pump\id_00\normal\00000005.wav,id_00,id_00,0,0.165154,0.175691,0
D:\pump\id_00\normal\00000006.wav,id_00,id_00,0,0.17064,0.175691,0
D:\pump\id_00\normal\00000007.wav,id_00,id_00,0,0.178851,0.175691,1
D:\pump\id_00\normal\00000008.wav,id_00,id_00,0,0.161016,0.175691,0
D:\pump\id_00\normal\00000009.wav,id_00,id_00,0,0.164179,0.175691,0
D:\pump\id_00\normal\00000010.wav,id_00,id_00,0,0.164244,0.175691,0
D:\pump\id_00\normal\00000011.wav,id_00,id_00,0,0.177687,0.175691,1
D:\pump\id_00\normal\00000012.wav,id_00,id_00,0,0.191217,0.175691,1
D:\pump\id_00\normal\00000013.wav,id_00,id_00,0,0.182178,0.175691,1
D:\pump\id_00\normal\00000014.wav,id_00,id_00,0,0.160247,0.175691,0
D:\pump\id_00\normal\00000015.wav,id_00,id_00,0,0.155841,0.175691,0
D:\pump\id_00\normal\00000016.wav,id_00,id_00,0,0.171589,0.175691,0
D:\pump\id_00\normal\00000017.wav,id_00,id_00,0,0.159832,0.175691,0
D:\pump\id_00\normal\00000018.wav,id_00,id_00,0,0.179824,0.175691,1
D:\pump\id_00\normal\00000019.wav,id_00,id_00,0,0.157791,0.175691,0
D:\pump\id_00\normal\00000020.wav,id_00,id_00,0,0.160703,0.175691,0
D:\pump\id_00\normal\00000021.wav,id_00,id_00,0,0.169804,0.175691,0
D:\pump\id_00\normal\00000022.wav,id_00,id_00,0,0.17752,0.175691,1
D:\pump\id_00\normal\00000023.wav,id_00,id_00,0,0.159571,0.175691,0
D:\pump\id_00\normal\00000024.wav,id_00,id_00,0,0.183399,0.175691,1
D:\pump\id_00\normal\00000025.wav,id_00,id_00,0,0.171913,0.175691,0
D:\pump\id_00\normal\00000026.wav,id_00,id_00,0,0.164813,0.175691,0
D:\pump\id_00\normal\00000027.wav,id_00,id_00,0,0.156356,0.175691,0
D:\pump\id_00\normal\00000028.wav,id_00,id_00,0,0.162306,0.175691,0
D:\pump\id_00\normal\00000029.wav,id_00,id_00,0,0.16437,0.175691,0
D:\pump\id_00\normal\00000030.wav,id_00,id_00,0,0.153371,0.175691,0
D:\pump\id_00\normal\00000031.wav,id_00,id_00,0,0.172884,0.175691,0
D:\pump\id_00\normal\00000032.wav,id_00,id_00,0,0.158627,0.175691,0
D:\pump\id_00\normal\00000033.wav,id_00,id_00,0,0.17004,0.175691,0
D:\pump\id_00\normal\00000034.wav,id_00,id_00,0,0.178049,0.175691,1
D:\pump\id_00\normal\00000035.wav,id_00,id_00,0,0.163045,0.175691,0
D:\pump\id_00\normal\00000036.wav,id_00,id_00,0,0.170344,0.175691,0
D:\pump\id_00\normal\00000037.wav,id_00,id_00,0,0.169218,0.175691,0
D:\pump\id_00\normal\00000038.wav,id_00,id_00,0,0.160797,0.175691,0
D:\pump\id_00\normal\00000039.wav,id_00,id_00,0,0.165785,0.175691,0
D:\pump\id_00\normal\00000040.wav,id_00,id_00,0,0.161129,0.175691,0
D:\pump\id_00\normal\00000041.wav,id_00,id_00,0,0.167842,0.175691,0
D:\pump\id_00\normal\00000042.wav,id_00,id_00,0,0.164346,0.175691,0
D:\pump\id_00\normal\00000043.wav,id_00,id_00,0,0.170387,0.175691,0
D:\pump\id_00\normal\00000044.wav,id_00,id_00,0,0.159858,0.175691,0
D:\pump\id_00\normal\00000045.wav,id_00,id_00,0,0.166302,0.175691,0
D:\pump\id_00\normal\00000046.wav,id_00,id_00,0,0.161257,0.175691,0
D:\pump\id_00\normal\00000047.wav,id_00,id_00,0,0.172788,0.175691,0
D:\pump\id_00\normal\00000048.wav,id_00,id_00,0,0.152205,0.175691,0
D:\pump\id_00\normal\00000049.wav,id_00,id_00,0,0.190893,0.175691,1
D:\pump\id_00\normal\00000050.wav,id_00,id_00,0,0.175017,0.175691,0
D:\pump\id_00\normal\00000051.wav,id_00,id_00,0,0.152123,0.175691,0
D:\pump\id_00\normal\00000052.wav,id_00,id_00,0,0.155534,0.175691,0
D:\pump\id_00\normal\00000053.wav,id_00,id_00,0,0.15324,0.175691,0
D:\pump\id_00\normal\00000054.wav,id_00,id_00,0,0.171988,0.175691,0
D:\pump\id_00\normal\00000055.wav,id_00,id_00,0,0.177152,0.175691,1
D:\pump\id_00\normal\00000056.wav,id_00,id_00,0,0.167314,0.175691,0
D:\pump\id_00\normal\00000057.wav,id_00,id_00,0,0.175126,0.175691,0
D:\pump\id_00\normal\00000058.wav,id_00,id_00,0,0.176526,0.175691,1
D:\pump\id_00\normal\00000059.wav,id_00,id_00,0,0.169313,0.175691,0
D:\pump\id_00\normal\00000060.wav,id_00,id_00,0,0.163613,0.175691,0
D:\pump\id_00\normal\00000061.wav,id_00,id_00,0,0.1529,0.175691,0
D:\pump\id_00\normal\00000062.wav,id_00,id_00,0,0.170168,0.175691,0
D:\pump\id_00\normal\00000063.wav,id_00,id_00,0,0.155261,0.175691,0
D:\pump\id_00\normal\00000064.wav,id_00,id_00,0,0.157298,0.175691,0
D:\pump\id_00\normal\00000065.wav,id_00,id_00,0,0.157893,0.175691,0
D:\pump\id_00\normal\00000066.wav,id_00,id_00,0,0.183348,0.175691,1
D:\pump\id_00\normal\00000067.wav,id_00,id_00,0,0.163283,0.175691,0
D:\pump\id_00\normal\00000068.wav,id_00,id_00,0,0.166883,0.175691,0
D:\pump\id_00\normal\00000069.wav,id_00,id_00,0,0.17602,0.175691,1
D:\pump\id_00\normal\00000070.wav,id_00,id_00,0,0.181132,0.175691,1
D:\pump\id_00\normal\00000071.wav,id_00,id_00,0,0.171858,0.175691,0
D:\pump\id_00\normal\00000072.wav,id_00,id_00,0,0.172991,0.175691,0
D:\pump\id_00\normal\00000073.wav,id_00,id_00,0,0.167072,0.175691,0
D:\pump\id_00\normal\00000074.wav,id_00,id_00,0,0.166684,0.175691,0
D:\pump\id_00\normal\00000075.wav,id_00,id_00,0,0.156311,0.175691,0
D:\pump\id_00\normal\00000076.wav,id_00,id_00,0,0.166467,0.175691,0
D:\pump\id_00\normal\00000077.wav,id_00,id_00,0,0.166704,0.175691,0
D:\pump\id_00\normal\00000078.wav,id_00,id_00,0,0.169925,0.175691,0
D:\pump\id_00\normal\00000079.wav,id_00,id_00,0,0.159122,0.175691,0
D:\pump\id_00\normal\00000080.wav,id_00,id_00,0,0.162113,0.175691,0
D:\pump\id_00\normal\00000081.wav,id_00,id_00,0,0.164782,0.175691,0
D:\pump\id_00\normal\00000082.wav,id_00,id_00,0,0.162253,0.175691,0
D:\pump\id_00\normal\00000083.wav,id_00,id_00,0,0.157946,0.175691,0
D:\pump\id_00\normal\00000084.wav,id_00,id_00,0,0.161858,0.175691,0
D:\pump\id_00\normal\00000085.wav,id_00,id_00,0,0.181776,0.175691,1
D:\pump\id_00\normal\00000086.wav,id_00,id_00,0,0.169077,0.175691,0
D:\pump\id_00\normal\00000087.wav,id_00,id_00,0,0.165825,0.175691,0
D:\pump\id_00\normal\00000088.wav,id_00,id_00,0,0.173904,0.175691,0
D:\pump\id_00\normal\00000089.wav,id_00,id_00,0,0.167007,0.175691,0
D:\pump\id_00\normal\00000090.wav,id_00,id_00,0,0.15505,0.175691,0
D:\pump\id_00\normal\00000091.wav,id_00,id_00,0,0.156732,0.175691,0
D:\pump\id_00\normal\00000092.wav,id_00,id_00,0,0.153729,0.175691,0
D:\pump\id_00\normal\00000093.wav,id_00,id_00,0,0.152358,0.175691,0
D:\pump\id_00\normal\00000094.wav,id_00,id_00,0,0.169209,0.175691,0
D:\pump\id_00\normal\00000095.wav,id_00,id_00,0,0.156475,0.175691,0
D:\pump\id_00\normal\00000096.wav,id_00,id_00,0,0.162522,0.175691,0
D:\pump\id_00\normal\00000097.wav,id_00,id_00,0,0.164473,0.175691,0
D:\pump\id_00\normal\00000098.wav,id_00,id_00,0,0.157863,0.175691,0
D:\pump\id_00\normal\00000099.wav,id_00,id_00,0,0.159452,0.175691,0
D:\pump\id_00\normal\00000100.wav,id_00,id_00,0,0.174004,0.175691,0
D:\pump\id_00\normal\00000101.wav,id_00,id_00,0,0.16669,0.175691,0
D:\pump\id_00\normal\00000102.wav,id_00,id_00,0,0.18065,0.175691,1
D:\pump\id_00\normal\00000103.wav,id_00,id_00,0,0.169551,0.175691,0
D:\pump\id_00\normal\00000104.wav,id_00,id_00,0,0.1768,0.175691,1
D:\pump\id_00\normal\00000105.wav,id_00,id_00,0,0.17237,0.175691,0
D:\pump\id_00\normal\00000106.wav,id_00,id_00,0,0.162633,0.175691,0
D:\pump\id_00\normal\00000107.wav,id_00,id_00,0,0.18913,0.175691,1
D:\pump\id_00\normal\00000108.wav,id_00,id_00,0,0.168012,0.175691,0
D:\pump\id_00\normal\00000109.wav,id_00,id_00,0,0.154463,0.175691,0
D:\pump\id_00\normal\00000110.wav,id_00,id_00,0,0.163474,0.175691,0
D:\pump\id_00\normal\00000111.wav,id_00,id_00,0,0.17229,0.175691,0
D:\pump\id_00\normal\00000112.wav,id_00,id_00,0,0.174728,0.175691,0
D:\pump\id_00\normal\00000113.wav,id_00,id_00,0,0.161227,0.175691,0
D:\pump\id_00\normal\00000114.wav,id_00,id_00,0,0.166815,0.175691,0
