file_path,duration,sample_rate,number_of_samples,channels,machine_id,label,label_name
D:\pump\id_00\normal\00000000.wav,10.0,16000,160000,8,id_00,0,normal
D:\pump\id_00\normal\00000001.wav,10.0,16000,160000,8,id_00,0,normal
D:\pump\id_00\normal\00000002.wav,10.0,16000,160000,8,id_00,0,normal
D:\pump\id_00\normal\00000003.wav,10.0,16000,160000,8,id_00,0,normal
D:\pump\id_00\normal\00000004.wav,10.0,16000,160000,8,id_00,0,normal
D:\pump\id_00\normal\00000005.wav,10.0,16000,160000,8,id_00,0,normal
D:\pump\id_00\normal\00000006.wav,10.0,16000,160000,8,id_00,0,normal
D:\pump\id_00\normal\00000007.wav,10.0,16000,160000,8,id_00,0,normal
D:\pump\id_00\normal\00000008.wav,10.0,16000,160000,8,id_00,0,normal
D:\pump\id_00\normal\00000009.wav,10.0,16000,160000,8,id_00,0,normal
D:\pump\id_00\normal\00000010.wav,10.0,16000,160000,8,id_00,0,normal
D:\pump\id_00\normal\00000011.wav,10.0,16000,160000,8,id_00,0,normal
D:\pump\id_00\normal\00000012.wav,10.0,16000,160000,8,id_00,0,normal
D:\pump\id_00\normal\00000013.wav,10.0,16000,160000,8,id_00,0,normal
D:\pump\id_00\normal\00000014.wav,10.0,16000,160000,8,id_00,0,normal
D:\pump\id_00\normal\00000015.wav,10.0,16000,160000,8,id_00,0,normal
D:\pump\id_00\normal\00000016.wav,10.0,16000,160000,8,id_00,0,normal
D:\pump\id_00\normal\00000017.wav,10.0,16000,160000,8,id_00,0,normal
D:\pump\id_00\normal\00000018.wav,10.0,16000,160000,8,id_00,0,normal
D:\pump\id_00\normal\00000019.wav,10.0,16000,160000,8,id_00,0,normal
D:\pump\id_00\normal\00000020.wav,10.0,16000,160000,8,id_00,0,normal
D:\pump\id_00\normal\00000021.wav,10.0,16000,160000,8,id_00,0,normal
D:\pump\id_00\normal\00000022.wav,10.0,16000,160000,8,id_00,0,normal
D:\pump\id_00\normal\00000023.wav,10.0,16000,160000,8,id_00,0,normal
D:\pump\id_00\normal\00000024.wav,10.0,16000,160000,8,id_00,0,normal
D:\pump\id_00\normal\00000025.wav,10.0,16000,160000,8,id_00,0,normal
D:\pump\id_00\normal\00000026.wav,10.0,16000,160000,8,id_00,0,normal
D:\pump\id_00\normal\00000027.wav,10.0,16000,160000,8,id_00,0,normal
D:\pump\id_00\normal\00000028.wav,10.0,16000,160000,8,id_00,0,normal
D:\pump\id_00\normal\00000029.wav,10.0,16000,160000,8,id_00,0,normal
D:\pump\id_00\normal\00000030.wav,10.0,16000,160000,8,id_00,0,normal
D:\pump\id_00\normal\00000031.wav,10.0,16000,160000,8,id_00,0,normal
D:\pump\id_00\normal\00000032.wav,10.0,16000,160000,8,id_00,0,normal
D:\pump\id_00\normal\00000033.wav,10.0,16000,160000,8,id_00,0,normal
D:\pump\id_00\normal\00000034.wav,10.0,16000,160000,8,id_00,0,normal
D:\pump\id_00\normal\00000035.wav,10.0,16000,160000,8,id_00,0,normal
D:\pump\id_00\normal\00000036.wav,10.0,16000,160000,8,id_00,0,normal
D:\pump\id_00\normal\00000037.wav,10.0,16000,160000,8,id_00,0,normal
D:\pump\id_00\normal\00000038.wav,10.0,16000,160000,8,id_00,0,normal
D:\pump\id_00\normal\00000039.wav,10.0,16000,160000,8,id_00,0,normal
D:\pump\id_00\normal\00000040.wav,10.0,16000,160000,8,id_00,0,normal
D:\pump\id_00\normal\00000041.wav,10.0,16000,160000,8,id_00,0,normal
D:\pump\id_00\normal\00000042.wav,10.0,16000,160000,8,id_00,0,normal
D:\pump\id_00\normal\00000043.wav,10.0,16000,160000,8,id_00,0,normal
D:\pump\id_00\normal\00000044.wav,10.0,16000,160000,8,id_00,0,normal
D:\pump\id_00\normal\00000045.wav,10.0,16000,160000,8,id_00,0,normal
D:\pump\id_00\normal\00000046.wav,10.0,16000,160000,8,id_00,0,normal
D:\pump\id_00\normal\00000047.wav,10.0,16000,160000,8,id_00,0,normal
D:\pump\id_00\normal\00000048.wav,10.0,16000,160000,8,id_00,0,normal
D:\pump\id_00\normal\00000049.wav,10.0,16000,160000,8,id_00,0,normal
D:\pump\id_00\normal\00000050.wav,10.0,16000,160000,8,id_00,0,normal
