file_path,machine_id,label,label_name,duration,sample_rate,number_of_samples
D:\pump\id_00\normal\00000909.wav,id_00,0,normal,10.0,16000,160000
D:\pump\id_02\normal\00000060.wav,id_02,0,normal,10.0,16000,160000
D:\pump\id_04\abnormal\00000064.wav,id_04,1,abnormal,10.0,16000,160000
D:\pump\id_04\normal\00000031.wav,id_04,0,normal,10.0,16000,160000
D:\pump\id_02\normal\00000374.wav,id_02,0,normal,10.0,16000,160000
D:\pump\id_00\abnormal\00000066.wav,id_00,1,abnormal,10.0,16000,160000
D:\pump\id_06\normal\00000501.wav,id_06,0,normal,10.0,16000,160000
D:\pump\id_06\normal\00000651.wav,id_06,0,normal,10.0,16000,160000
D:\pump\id_02\normal\00000892.wav,id_02,0,normal,10.0,16000,160000
D:\pump\id_00\normal\00000807.wav,id_00,0,normal,10.0,16000,160000
D:\pump\id_06\normal\00000830.wav,id_06,0,normal,10.0,16000,160000
D:\pump\id_06\normal\00000614.wav,id_06,0,normal,10.0,16000,160000
D:\pump\id_04\normal\00000251.wav,id_04,0,normal,10.0,16000,160000
D:\pump\id_00\normal\00000335.wav,id_00,0,normal,10.0,16000,160000
D:\pump\id_06\normal\00000654.wav,id_06,0,normal,10.0,16000,160000
D:\pump\id_06\normal\00000863.wav,id_06,0,normal,10.0,16000,160000
D:\pump\id_04\normal\00000277.wav,id_04,0,normal,10.0,16000,160000
D:\pump\id_06\normal\00000417.wav,id_06,0,normal,10.0,16000,160000
D:\pump\id_04\abnormal\00000020.wav,id_04,1,abnormal,10.0,16000,160000
D:\pump\id_00\normal\00000882.wav,id_00,0,normal,10.0,16000,160000
D:\pump\id_00\normal\00000626.wav,id_00,0,normal,10.0,16000,160000
D:\pump\id_04\normal\00000012.wav,id_04,0,normal,10.0,16000,160000
D:\pump\id_06\normal\00000096.wav,id_06,0,normal,10.0,16000,160000
D:\pump\id_00\normal\00000177.wav,id_00,0,normal,10.0,16000,160000
D:\pump\id_00\normal\00000185.wav,id_00,0,normal,10.0,16000,160000
D:\pump\id_00\normal\00000048.wav,id_00,0,normal,10.0,16000,160000
D:\pump\id_04\abnormal\00000029.wav,id_04,1,abnormal,10.0,16000,160000
D:\pump\id_00\normal\00000551.wav,id_00,0,normal,10.0,16000,160000
D:\pump\id_00\normal\00000432.wav,id_00,0,normal,10.0,16000,160000
D:\pump\id_06\normal\00000087.wav,id_06,0,normal,10.0,16000,160000
D:\pump\id_04\normal\00000311.wav,id_04,0,normal,10.0,16000,160000
D:\pump\id_06\normal\00000144.wav,id_06,0,normal,10.0,16000,160000
D:\pump\id_02\normal\00000393.wav,id_02,0,normal,10.0,16000,160000
D:\pump\id_00\abnormal\00000058.wav,id_00,1,abnormal,10.0,16000,160000
D:\pump\id_00\normal\00000073.wav,id_00,0,normal,10.0,16000,160000
