file_path,machine_id,label,label_name,rms,spectral_centroid_hz,spectral_bandwidth_hz,spectral_rolloff_hz,spectral_flatness,zero_crossing_rate,dominant_frequency_hz,mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_13_mean,mfcc_1_std,mfcc_2_std,mfcc_3_std,mfcc_4_std,mfcc_5_std,mfcc_6_std,mfcc_7_std,mfcc_8_std,mfcc_9_std,mfcc_10_std,mfcc_11_std,mfcc_12_std,mfcc_13_std
D:\pump\id_00\normal\00000909.wav,id_00,0,normal,0.125637,1685.76,1816.1,3591.48,0.048641,0.108561,165.8,-34.638023,99.164093,-6.792886,14.991214,-0.307983,10.222837,5.861539,5.374316,0.123683,-0.782641,-4.994642,-1.540534,1.305197,15.905909,9.77459,9.658,7.612086,6.88153,6.713556,6.117584,5.613382,5.966257,4.227765,5.365069,5.611363,4.661544
D:\pump\id_02\normal\00000060.wav,id_02,0,normal,0.175623,1752.03,1886.58,3814.82,0.046125,0.125251,47.6,-4.408662,94.637283,-4.384473,14.801004,7.726846,18.397856,5.858672,-2.528037,-0.329942,6.106074,2.613719,-5.677029,-3.750025,11.191379,10.000842,7.572351,7.672033,8.17353,7.087146,6.191558,5.888622,5.41924,4.981102,4.823978,5.146379,4.391343
D:\pump\id_04\abnormal\00000064.wav,id_04,1,abnormal,0.209968,2020.1,1865.25,3866.34,0.066471,0.183745,71.6,31.757174,79.532692,-9.855471,25.174202,-6.333242,3.879488,9.250672,-3.30081,-3.301867,-1.605332,-13.9396,12.773367,-0.229327,6.737512,4.526732,3.839465,4.228223,3.716946,3.182875,3.753157,3.616825,3.298706,5.499924,4.963751,7.091561,3.720299
D:\pump\id_04\normal\00000031.wav,id_04,0,normal,0.220034,2689.89,2082.04,5385.23,0.140815,0.235534,573.2,47.878391,42.545628,-11.823451,20.739241,1.810046,-3.290399,-10.407604,-0.797466,-5.792841,3.974462,5.664887,8.207389,-6.155478,4.753192,4.023088,2.787146,3.652359,3.15436,3.378866,2.916769,2.890723,3.850841,2.890265,4.671922,3.008453,4.173464
D:\pump\id_02\normal\00000374.wav,id_02,0,normal,0.168633,1730.67,1842.93,3697.11,0.041773,0.125774,160.1,-7.634931,97.110359,-10.278256,4.491499,0.281093,18.665707,10.808343,3.100785,5.438461,1.780132,3.021097,-6.372268,-6.705446,9.975107,8.345136,6.499787,6.477001,6.451652,6.188817,5.168321,5.179755,5.080109,4.663236,3.989422,4.418099,4.174553
D:\pump\id_00\abnormal\00000066.wav,id_00,1,abnormal,0.102459,1796.48,1780.87,3636.78,0.063257,0.131808,499.5,-69.752411,93.062416,-15.946574,3.415182,-15.371568,-4.586363,-5.73466,-7.787031,-10.256705,-7.719787,-8.479461,-4.719968,-3.441734,23.57807,15.309318,6.924248,7.665195,9.124909,7.284765,5.790204,6.002118,5.648071,5.435826,4.922789,4.152822,4.710007
D:\pump\id_06\normal\00000501.wav,id_06,0,normal,0.187364,1954.78,1810.38,3829.57,0.070867,0.143825,189.4,20.750462,79.880844,-17.155346,29.777281,-2.458621,3.721734,-3.07625,-5.435824,-7.832164,-7.200008,-8.771603,-1.693682,-3.61539,5.233998,5.13914,3.769894,3.796161,3.483898,3.112748,3.657788,3.838525,3.556063,3.312462,3.898533,3.590919,3.437464
D:\pump\id_06\normal\00000651.wav,id_06,0,normal,0.27675,1025.13,1493.71,1718.43,0.004057,0.042747,189.6,-51.983719,141.276276,14.824863,-0.651866,2.059003,1.824038,3.591633,3.681709,-6.350715,-11.513739,-5.415888,1.19021,1.102662,4.668764,3.401771,3.510461,3.463402,3.098661,2.926538,2.941187,3.012916,2.676009,3.309547,2.780174,2.895078,3.262409
D:\pump\id_02\normal\00000892.wav,id_02,0,normal,0.127756,1724.05,1854.38,3641.77,0.03588,0.131203,45.0,-43.008442,97.057991,-9.833448,6.217113,6.634323,15.577703,8.696026,1.444749,3.744336,3.635459,-1.461176,-3.695539,-0.317677,7.987725,6.648904,7.096236,6.287191,5.624157,5.921642,6.166338,4.388885,5.095098,4.976688,4.811599,4.461746,4.293146
D:\pump\id_00\normal\00000807.wav,id_00,0,normal,0.164523,1887.53,1874.59,4027.01,0.076156,0.139132,166.1,11.686063,89.741043,-9.327268,8.61716,-9.978224,3.311793,-0.386643,5.667604,-3.430218,-4.837206,-5.610581,-1.532646,0.973849,8.998416,6.008733,6.353976,5.208782,5.324724,5.208439,4.645243,4.490386,4.547344,3.917303,3.942293,4.045136,4.09152
D:\pump\id_06\normal\00000830.wav,id_06,0,normal,0.288736,892.58,1211.42,1591.05,0.002777,0.043881,188.0,-50.932266,156.654449,-2.388304,19.997007,-3.680079,8.617764,-2.703691,-1.882073,-8.065203,-5.253983,-4.773016,1.734773,-1.114183,13.362187,8.081059,6.165051,4.626554,5.250609,5.04081,3.864812,4.271485,3.557104,3.629067,3.699509,3.599139,3.771481
D:\pump\id_06\normal\00000614.wav,id_06,0,normal,0.23684,1304.8,1733.97,2602.59,0.014263,0.075158,282.0,-19.472078,123.445961,14.523752,1.302936,4.272253,6.948627,1.878505,3.01807,-2.792711,-9.994452,-8.178034,-1.252408,3.110754,7.534144,6.40892,5.71293,5.204134,5.081075,4.498304,4.38447,4.310077,3.872552,3.710229,3.687087,3.49886,3.596532
D:\pump\id_04\normal\00000251.wav,id_04,0,normal,0.242597,2377.84,2151.95,5020.59,0.089955,0.202242,433.1,47.844929,61.696785,4.347079,23.134415,5.752417,-0.747519,-11.384216,2.238534,-2.457993,-0.957985,10.654529,-1.098755,-10.051297,3.331746,2.827722,2.531229,2.865874,2.690936,2.739152,2.672849,2.760378,2.707721,2.502625,2.845944,2.667991,2.731055
D:\pump\id_00\normal\00000335.wav,id_00,0,normal,0.125454,1857.96,1944.65,4100.44,0.063916,0.121857,120.6,-28.07152,88.270203,0.785507,17.885502,0.24192,13.969027,5.218691,4.736141,-0.179118,-1.506952,-4.130961,0.394593,-0.542355,13.783253,9.571504,8.780323,8.504243,6.873791,6.072396,6.1274,6.072152,5.862981,5.316125,4.796878,5.407868,4.727495
D:\pump\id_06\normal\00000654.wav,id_06,0,normal,0.316496,633.4,963.16,1053.64,0.000622,0.029823,189.5,-98.482307,184.254044,4.074691,17.143295,1.437171,10.304458,7.437207,5.687006,-1.915298,-4.570812,-6.241098,-0.334091,-0.222426,5.723266,5.591921,4.152907,4.242263,3.281126,3.251588,2.911272,2.932461,3.303006,3.29315,3.051621,2.803828,2.924112
D:\pump\id_06\normal\00000863.wav,id_06,0,normal,0.290184,1038.67,1531.8,1671.9,0.004154,0.048199,188.4,-50.069038,139.601807,22.358086,-0.285959,-0.096566,5.022031,-1.594273,-3.261436,-3.53125,-3.524356,-1.54443,-4.331732,-3.526091,6.916103,4.817152,5.186288,4.408077,5.035129,3.891115,3.71047,3.88426,3.622595,3.659994,3.676286,3.478747,3.180798
D:\pump\id_04\normal\00000277.wav,id_04,0,normal,0.235183,2501.57,2146.66,5117.79,0.085982,0.220007,63.9,35.037479,51.921028,1.809005,26.882627,9.003748,0.521786,-12.044636,2.346268,-1.360643,2.783273,16.94643,3.687347,-6.563169,3.304544,2.853336,3.001397,3.140023,2.874091,3.086178,2.309261,2.492498,2.797113,2.938655,2.951894,3.81524,2.623259
D:\pump\id_06\normal\00000417.wav,id_06,0,normal,0.227209,1284.6,1666.82,2534.89,0.014212,0.078919,190.6,-23.781658,125.854759,13.70395,4.024105,-3.724921,1.243652,0.113551,2.604706,-3.794224,-6.678369,-7.402303,-4.908547,0.226783,11.583477,9.411611,6.660716,6.873814,5.491446,6.370856,5.573752,5.45559,5.411908,4.604367,4.090348,4.010176,3.973073
D:\pump\id_04\abnormal\00000020.wav,id_04,1,abnormal,0.242255,2080.58,1823.46,4109.38,0.08239,0.182368,71.7,53.630104,73.106277,-17.506689,31.287378,-3.871993,10.228415,-7.943579,-2.289958,0.604219,8.510848,6.384685,-0.77914,-2.370401,5.845225,3.799656,3.208006,3.15423,3.316088,3.256331,2.919114,2.730797,3.325832,3.075415,2.797127,2.963765,2.832585
