feature_set,held_out_machine,num_features,test_samples,accuracy,precision,abnormal_recall,f1_score,roc_auc,TN_normal_correct,FP_normal_wrong,TP_abnormal_correct,FN_abnormal_wrong
Set A: ALL FEATURES,id_00,33,1149,0.8886,0.8261,0.1329,0.2289,0.8704,1002,4,19,124
Set A: ALL FEATURES,id_02,33,1116,0.8889,0.4564,0.6126,0.5231,0.6661,924,81,68,43
Set A: ALL FEATURES,id_04,33,802,0.7257,0.0312,0.04,0.0351,0.3052,578,124,4,96
Set A: ALL FEATURES,id_06,33,1138,0.1714,0.0976,1.0,0.1779,0.7056,93,943,102,0
Set A: ALL FEATURES,OVERALL_ALL_FOLDS,33,4205,0.6635,0.1435,0.4232,0.2143,0.577,2597,1152,193,263
Set B: REDUCED SPECTRAL,id_00,28,1149,0.8903,1.0,0.1189,0.2125,0.8531,1006,0,17,126
Set B: REDUCED SPECTRAL,id_02,28,1116,0.8763,0.422,0.6577,0.5141,0.7497,905,100,73,38
Set B: REDUCED SPECTRAL,id_04,28,802,0.8167,0.2577,0.25,0.2538,0.6014,630,72,25,75
Set B: REDUCED SPECTRAL,id_06,28,1138,0.3462,0.1179,0.9706,0.2102,0.7988,295,741,99,3
Set B: REDUCED SPECTRAL,OVERALL_ALL_FOLDS,28,4205,0.7253,0.1899,0.4693,0.2704,0.6443,2836,913,214,242
Set C: COMPACT FEATURES,id_00,28,1149,0.8903,1.0,0.1189,0.2125,0.8531,1006,0,17,126
Set C: COMPACT FEATURES,id_02,28,1116,0.8763,0.422,0.6577,0.5141,0.7497,905,100,73,38
Set C: COMPACT FEATURES,id_04,28,802,0.8167,0.2577,0.25,0.2538,0.6014,630,72,25,75
Set C: COMPACT FEATURES,id_06,28,1138,0.3462,0.1179,0.9706,0.2102,0.7988,295,741,99,3
Set C: COMPACT FEATURES,OVERALL_ALL_FOLDS,28,4205,0.7253,0.1899,0.4693,0.2704,0.6443,2836,913,214,242
