feature,id_00_mean,id_00_std,id_02_mean,id_02_std,id_04_mean,id_04_std,id_06_mean,id_06_std
rms,0.1356,0.0332,0.1618,0.0436,0.2299,0.0196,0.2388,0.0422
spectral_centroid_hz,1792.3498,210.1464,1793.327,188.9502,2532.71,169.5718,1115.6297,247.0278
spectral_bandwidth_hz,1843.5169,97.7781,1850.3998,72.2317,2112.4237,94.2738,1460.2614,219.2884
spectral_rolloff_hz,3780.4351,422.1251,3762.8069,379.5473,5132.1944,389.5329,2147.8668,692.244
spectral_flatness,0.0617,0.0248,0.0536,0.026,0.099,0.027,0.0098,0.0105
zero_crossing_rate,0.1242,0.0242,0.1359,0.0235,0.2241,0.0255,0.0603,0.0185
dominant_frequency_hz,185.3254,117.2636,421.4676,550.6122,567.7762,643.3159,216.8246,75.5756
mfcc_1_mean,-25.9521,25.4572,-12.9738,31.5976,39.0802,11.3769,-44.7957,23.3021
mfcc_2_mean,94.474,12.5607,93.3842,10.5047,51.0136,8.6205,137.5515,19.3604
mfcc_3_mean,-7.6392,6.2795,-11.6663,4.4153,-3.2258,8.2112,5.3873,9.9583
mfcc_4_mean,10.1685,5.1553,8.3785,5.7243,24.1221,6.5461,13.1085,10.237
mfcc_5_mean,-4.5347,4.9794,4.2534,3.0484,3.7811,6.4236,-3.0002,4.7931
mfcc_6_mean,7.2838,4.6282,16.9906,3.2607,-1.0988,5.2737,6.9754,5.3066
mfcc_7_mean,3.7467,3.5676,7.6545,3.1868,-8.2169,5.1423,-1.1669,3.7929
mfcc_8_mean,3.9757,3.9701,-0.4985,2.5067,1.1936,4.1297,-1.2831,4.3193
mfcc_9_mean,-2.2923,2.8261,0.7365,2.085,-3.9161,3.2813,-6.4044,4.1423
mfcc_10_mean,-2.4889,2.262,3.3497,2.7547,0.6031,3.6718,-3.7917,3.5814
mfcc_11_mean,-3.9406,2.397,1.1914,3.4395,12.3905,5.5656,-3.6786,3.3057
mfcc_12_mean,-0.3716,2.5547,-1.7659,3.1016,3.5288,4.7771,-0.588,3.2758
mfcc_13_mean,0.36,2.2827,-1.2857,2.3349,-8.2339,3.9998,-0.343,2.977
mfcc_1_std,14.0247,3.0592,12.6923,5.3445,4.2406,2.0404,10.061,5.6293
mfcc_2_std,9.857,1.9493,9.7381,2.4386,3.3668,1.1108,7.9088,4.0827
mfcc_3_std,8.5153,1.2721,7.4411,1.7088,3.0674,0.8639,5.9293,2.3075
mfcc_4_std,7.4455,1.1005,6.5247,1.2514,3.1673,0.7542,5.2062,1.7865
mfcc_5_std,7.0732,1.0871,5.9918,1.155,2.995,0.4862,4.7583,1.4989
mfcc_6_std,6.7271,0.9845,5.6646,1.0423,2.8977,0.3606,4.4636,1.3386
mfcc_7_std,6.1481,0.8568,5.6154,1.0229,2.8928,0.4744,4.2662,1.2274
mfcc_8_std,5.7794,0.7863,5.0702,0.8393,2.8879,0.357,4.1354,1.1023
mfcc_9_std,5.5017,0.708,5.0149,0.8099,2.8548,0.3603,3.9631,0.9738
mfcc_10_std,5.3647,0.7099,4.6453,0.6521,2.8726,0.6201,3.8466,0.9007
mfcc_11_std,5.1219,0.6464,4.3939,0.6232,2.9866,0.7212,3.7803,0.8362
mfcc_12_std,4.8732,0.5736,4.2489,0.5943,2.9237,0.7721,3.6643,0.7901
mfcc_13_std,4.6859,0.5047,4.2955,0.6097,2.9012,0.4072,3.596,0.7068
